Fluid,T,P,D,H,S,U,Q,C,Z,A,viscosity,conductivity,molar_mass,speed_of_sound,acentric
,[K],[Pa],[kg/m^3],[J/kg],[J/kg/K],[J/kg],[-],[m/s],[-],[m/s²],[Pa·s],[W/m/K],[kg/mol],[m/s],[-]
D5,300.0,101325.0,951.784388,-339104.282503,-875.936157,-339210.740437,-1.0,1713.497773,0.015824,920.154607,,,0.37077,920.154607,0.630945
D6,300.0,101325.0,966.434588,-391742.706068,-970.252272,-391847.550205,-1.0,1580.317041,0.018701,664.260663,,,0.444924,664.260663,0.736
Deuterium,300.0,101325.0,0.163539,2273532.041158,30128.327673,1653954.734397,-1.0,7247.596404,1.000578,931.108807,,,0.004028,931.108807,-0.13629
Dichloroethane,300.0,101325.0,1242.772391,-352540.327635,-991.897084,-352621.859057,-1.0,1303.857712,0.003235,1186.746994,,,0.098959,1186.746994,0.268579
DiethylEther,300.0,101325.0,705.690193,-367102.924774,-1188.405654,-367246.507611,-1.0,2340.476506,0.004267,943.219877,,,0.074122,943.219877,0.281929
DimethylCarbonate,300.0,101325.0,1060.835826,-119591.108191,-361.342452,-119686.622499,-1.0,1834.919595,0.003449,1191.013075,,,0.090078,1191.013075,0.346
DimethylEther,300.0,101325.0,1.905591,538566.216024,2141.131872,485393.736972,-1.0,1470.601281,0.982052,245.585126,9e-06,,0.046068,245.585126,0.196
Ethane,300.0,101325.0,1.23064,671039.899521,3409.464598,588704.672013,-1.0,1764.365693,0.992543,312.211335,9e-06,0.021219,0.030069,312.211335,0.099
Ethanol,300.0,101325.0,783.540366,-138148.797723,-423.927275,-138278.114609,-1.0,2449.111378,0.002388,1135.433466,0.001045,0.163136,0.046068,1135.433466,0.644
EthylBenzene,300.0,101325.0,860.922285,-212194.042062,-599.978596,-212311.735612,-1.0,1751.716688,0.005009,1310.797758,0.000599,0.127295,0.106165,1310.797758,0.304
Ethylene,300.0,101325.0,1.146051,662299.55666,3628.432279,573887.267539,-1.0,1543.430385,0.994365,330.805413,,,0.028054,330.805413,0.0866
EthyleneOxide,300.0,101325.0,1.837053,596644.200103,2101.554964,541487.933457,-1.0,1155.069487,0.974116,257.396097,,,0.044053,257.396097,0.210195
Fluorine,300.0,101325.0,1.544113,345032.172819,3049.568312,279411.987631,-1.0,825.566439,0.999605,298.963964,,,0.037997,298.963964,0.0449
HeavyWater,300.0,101325.0,1104.061126,97101.58936,336.483269,97009.81455,-1.0,4189.226204,0.000737,1403.818681,0.001046,0.59701,0.020028,1403.818681,0.364219
Helium,300.0,101325.0,0.162516,1563421.715823,28009.411621,939942.997909,-1.0,5193.196277,1.000481,1019.585956,2e-05,0.155974,0.004003,1019.585956,-0.3836
HFE143m,300.0,101325.0,4.164195,427684.372365,1902.102946,403351.939787,-1.0,938.915197,0.975895,162.460905,,,0.10004,162.460905,0.288871
Hydrogen,300.0,101325.0,0.08184,3958280.601791,53464.504963,2720201.470938,-1.0,14312.822371,1.000592,1319.336511,9e-06,0.186699,0.002016,1319.336511,-0.219
